date,type,category,item,amount,source,card
10/1/2012,הכנסה,הכנסות אחרות,,0.00,,
11/1/2012,הוצאה,נופש,, ₪  430 ,,
11/1/2012,הוצאה,שיקים,," ₪  8,400 ",,
11/1/2012,הוצאה,רכב ותחבורה,," ₪  6,382 ",,
11/1/2012,הוצאה,מזון ומשקאות,," ₪  1,936 ",,
11/1/2012,הוצאה,בילוי ומסעדות,," ₪  2,150 ",,
11/1/2012,הוצאה,מזומן,," ₪  1,563 ",,
11/1/2012,הוצאה,חינוך ומשפחה,," ₪  2,567 ",,
11/1/2012,הוצאה,מיסים ותשלומים,," ₪  1,047 ",,
11/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  749 ,,
11/1/2012,הוצאה,ביגוד והנעלה,," ₪  1,103 ",,
11/1/2012,הוצאה,בריאות,," ₪  2,113 ",,
11/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  500 ,,
11/1/2012,הוצאה,מתנות ומזכרות,, ₪  -   ,,
11/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  8,266 ",,
11/1/2012,הוצאה,בית וגן,, ₪  486 ,,
11/1/2012,הוצאה,תרבות ופנאי,, ₪  821 ,,
11/1/2012,הוצאה,שירותי בנקאות,, ₪  49 ,,
11/1/2012,הוצאה,ביטוח,, ₪  379 ,,
11/1/2012,הוצאה,שונות,, ₪  2 ,,
11/1/2012,הוצאה,מזון ומשקאות,, ₪  122 ,,
11/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"23,048",,
11/1/2012,הכנסה,הפקדת שיקים,,"1,000",,
11/1/2012,הכנסה,מזומן,,0,,
11/1/2012,הכנסה,הכנסות אחרות,,"20,500.82",,
12/1/2012,הוצאה,נופש,, ₪  -   ,,
12/1/2012,הוצאה,שיקים,," ₪  4,200 ",,
12/1/2012,הוצאה,רכב ותחבורה,," ₪  3,419 ",,
12/1/2012,הוצאה,מזון ומשקאות,," ₪  2,821 ",,
12/1/2012,הוצאה,בילוי ומסעדות,," ₪  1,543 ",,
12/1/2012,הוצאה,מזומן,," ₪  1,356 ",,
12/1/2012,הוצאה,חינוך ומשפחה,, ₪  696 ,,
12/1/2012,הוצאה,מיסים ותשלומים,, ₪  624 ,,
12/1/2012,הוצאה,יופי ואביזרי אופנה,, ₪  103 ,,
12/1/2012,הוצאה,ביגוד והנעלה,, ₪  492 ,,
12/1/2012,הוצאה,בריאות,," ₪  2,756 ",,
12/1/2012,הוצאה,מוצרי חשמל ותקשורת,, ₪  641 ,,
12/1/2012,הוצאה,מתנות ומזכרות,, ₪  95 ,,
12/1/2012,הוצאה,הלוואות ומשכנתא,," ₪  14,363 ",,
12/1/2012,הוצאה,בית וגן,, ₪  46 ,,
12/1/2012,הוצאה,תרבות ופנאי,, ₪  161 ,,
12/1/2012,הוצאה,שירותי בנקאות,, ₪  57 ,,
12/1/2012,הוצאה,ביטוח,, ₪  -   ,,
12/1/2012,הוצאה,שונות,, ₪  28 ,,
12/1/2012,הוצאה,מזון ומשקאות,, ₪  20 ,,
12/1/2012,הכנסה,משכורת/קצבה,משכורת רותם,"15,663",,
12/1/2012,הכנסה,הפקדת שיקים,,,,
12/1/2012,הכנסה,מזומן,,,,
12/1/2012,הכנסה,הכנסות אחרות,,"1,662.00",,
1/1/2013,הוצאה,נופש,," ₪  2,034 ",,
1/1/2013,הוצאה,שיקים,, ₪  -   ,,
1/1/2013,הוצאה,רכב ותחבורה,," ₪  2,258 ",,
1/1/2013,הוצאה,מזון ומשקאות,," ₪  2,275 ",,
1/1/2013,הוצאה,בילוי ומסעדות,," ₪  1,625 ",,
1/1/2013,הוצאה,מזומן,," ₪  1,406 ",,
1/1/2013,הוצאה,חינוך ומשפחה,," ₪  2,047 ",,
1/1/2013,הוצאה,מיסים ותשלומים,," ₪  1,552 ",,
1/1/2013,הוצאה,יופי ואביזרי אופנה,, ₪  649 ,,
1/1/2013,הוצאה,ביגוד והנעלה,, ₪  873 ,,
1/1/2013,הוצאה,בריאות,, ₪  80 ,,
1/1/2013,הוצאה,מוצרי חשמל ותקשורת,," ₪  1,000 ",,
1/1/2013,הוצאה,מתנות ומזכרות,," ₪  1,539 ",,
1/1/2013,הוצאה,הלוואות ומשכנתא,, ₪  -   ,,
1/1/2013,הוצאה,בית וגן,, ₪  86 ,,
1/1/2013,הוצאה,תרבות ופנאי,, ₪  75 ,,
1/1/2013,הוצאה,שירותי בנקאות,, ₪  204 ,,
1/1/2013,הוצאה,ביטוח,, ₪  -   ,,
1/1/2013,הוצאה,שונות,, ₪  22 ,,
1/1/2013,הוצאה,מזון ומשקאות,, ₪  -   ,,
1/1/2013,הכנסה,משכורת/קצבה,משכורת רותם,"14,983",,
1/1/2013,הכנסה,הפקדת שיקים,,700,,
1/1/2013,הכנסה,מזומן,,800,,
1/1/2013,הכנסה,הכנסות אחרות,,0.00,,
2/1/2013,הוצאה,נופש,," ₪  2,252 ",,
2/1/2013,הוצאה,שיקים,," ₪  8,400 ",,
2/1/2013,הוצאה,רכב ותחבורה,," ₪  2,392 ",,
2/1/2013,הוצאה,מזון ומשקאות,," ₪  2,530 ",,
2/1/2013,הוצאה,בילוי ומסעדות,," ₪  2,180 ",,
2/1/2013,הוצאה,מזומן,," ₪  1,056 ",,
2/1/2013,הוצאה,חינוך ומשפחה,, ₪  178 ,,
2/1/2013,הוצאה,מיסים ותשלומים,, ₪  210 ,,
2/1/2013,הוצאה,יופי ואביזרי אופנה,, ₪  738 ,,
2/1/2013,הוצאה,ביגוד והנעלה,," ₪  1,049 ",,
2/1/2013,הוצאה,בריאות,," ₪  1,286 ",,
2/1/2013,הוצאה,מוצרי חשמל ותקשורת,, ₪  291 ,,
2/1/2013,הוצאה,מתנות ומזכרות,, ₪  -   ,,
2/1/2013,הוצאה,הלוואות ומשכנתא,, ₪  598 ,,
2/1/2013,הוצאה,בית וגן,, ₪  518 ,,
2/1/2013,הוצאה,תרבות ופנאי,, ₪  135 ,,
2/1/2013,הוצאה,שירותי בנקאות,, ₪  89 ,,
2/1/2013,הוצאה,ביטוח,, ₪  30 ,,
2/1/2013,הוצאה,שונות,, ₪  2 ,,
2/1/2013,הוצאה,מזון ומשקאות,, ₪  -   ,,
2/1/2013,הכנסה,משכורת/קצבה,משכורת רותם,"25,115",,
2/1/2013,הכנסה,הפקדת שיקים,,0,,
2/1/2013,הכנסה,מזומן,,0,,
2/1/2013,הכנסה,הכנסות אחרות,,0,,
3/1/2013,הוצאה,נופש,," ₪  4,663 ",,
3/1/2013,הוצאה,שיקים,, ₪  -   ,,
3/1/2013,הוצאה,רכב ותחבורה,," ₪  2,910 ",,
3/1/2013,הוצאה,מזון ומשקאות,," ₪  1,895 ",,
3/1/2013,הוצאה,בילוי ומסעדות,," ₪  2,829 ",,
3/1/2013,הוצאה,מזומן,," ₪  1,450 ",,
3/1/2013,הוצאה,חינוך ומשפחה,," ₪  1,016 ",,
3/1/2013,הוצאה,מיסים ותשלומים,," ₪  1,384 ",,
3/1/2013,הוצאה,יופי ואביזרי אופנה,," ₪  1,467 ",,
3/1/2013,הוצאה,ביגוד והנעלה,, ₪  890 ,,
3/1/2013,הוצאה,בריאות,," ₪  1,147 ",,
3/1/2013,הוצאה,מוצרי חשמל ותקשורת,, ₪  257 ,,
3/1/2013,הוצאה,מתנות ומזכרות,, ₪  -   ,,
3/1/2013,הוצאה,הלוואות ומשכנתא,, ₪  597 ,,
3/1/2013,הוצאה,בית וגן,, ₪  244 ,,
3/1/2013,הוצאה,תרבות ופנאי,, ₪  176 ,,
3/1/2013,הוצאה,שירותי בנקאות,, ₪  41 ,,
3/1/2013,הוצאה,ביטוח,, ₪  30 ,,
3/1/2013,הוצאה,שונות,, ₪  2 ,,
3/1/2013,הוצאה,מזון ומשקאות,, ₪  -   ,,
3/1/2013,הכנסה,משכורת/קצבה,משכורת רותם,"14,983",,
3/1/2013,הכנסה,הפקדת שיקים,,0,,
3/1/2013,הכנסה,מזומן,,0,,
3/1/2013,הכנסה,הכנסות אחרות,,1.6,,
4/1/2013,הוצאה,נופש,,4212.92,,
4/1/2013,הוצאה,בילוי ומסעדות,,1375.87,,
4/1/2013,הוצאה,מזון ומשקאות,,2242.38,,
4/1/2013,הוצאה,מיסים ותשלומים,,1553.74,,
4/1/2013,הוצאה,ביגוד והנעלה,,2035.26,,
4/1/2013,הוצאה,בריאות,,502.47,,
4/1/2013,הוצאה,שונות,,103,,
4/1/2013,הוצאה,חינוך ומשפחה,,0,,
4/1/2013,הוצאה,תרבות ופנאי,,39.9,,
4/1/2013,הוצאה,יופי ואביזרי אופנה,,797.11,,
4/1/2013,הוצאה,מוצרי חשמל ותקשורת,,113.36,,
4/1/2013,הוצאה,בית וגן,,110,,
4/1/2013,הוצאה,שירותי בנקאות,,83.47,,
4/1/2013,הוצאה,הלוואות ומשכנתא,,0,,
4/1/2013,הוצאה,שיקים,,8400,,
4/1/2013,הוצאה,רכב ותחבורה,,1633.6,,
4/1/2013,הוצאה,מתנות ומזכרות,,449,,
4/1/2013,הוצאה,מזומן,,1609.5,,
